COMPONENT NAME,COMPONENT TYPE,OPCODE,ENUM_NAME,INDETIFIER,VALUE,COMMENT
health,Health,361,HealthEnabled,HLTH_CHK_DISABLED,0,
health,Health,361,HealthEnabled,HLTH_CHK_ENABLED,1,
health,Health,362,PingEnabled,HLTH_PING_DISABLED,0,
health,Health,362,PingEnabled,HLTH_PING_ENABLED,1,
eventLogger,ActiveLogger,421,InputFilterLevel,INPUT_WARNING_HI,0,
eventLogger,ActiveLogger,421,InputFilterLevel,INPUT_WARNING_LO,1,
eventLogger,ActiveLogger,421,InputFilterLevel,INPUT_COMMAND,2,
eventLogger,ActiveLogger,421,InputFilterLevel,INPUT_ACTIVITY_HI,3,
eventLogger,ActiveLogger,421,InputFilterLevel,INPUT_ACTIVITY_LO,4,
eventLogger,ActiveLogger,421,InputFilterLevel,INPUT_DIAGNOSTIC,5,
eventLogger,ActiveLogger,421,InputFilterEnabled,INPUT_ENABLED,0,
eventLogger,ActiveLogger,421,InputFilterEnabled,INPUT_DISABLED,1,
eventLogger,ActiveLogger,422,SendFilterLevel,SEND_WARNING_HI,0,
eventLogger,ActiveLogger,422,SendFilterLevel,SEND_WARNING_LO,1,
eventLogger,ActiveLogger,422,SendFilterLevel,SEND_COMMAND,2,
eventLogger,ActiveLogger,422,SendFilterLevel,SEND_ACTIVITY_HI,3,
eventLogger,ActiveLogger,422,SendFilterLevel,SEND_ACTIVITY_LO,4,
eventLogger,ActiveLogger,422,SendFilterLevel,SEND_DIAGNOSTIC,5,
eventLogger,ActiveLogger,422,SendFilterEnabled,SEND_ENABLED,0,
eventLogger,ActiveLogger,422,SendFilterEnabled,SEND_DISABLED,1,
eventLogger,ActiveLogger,424,IdFilterEnabled,ID_ENABLED,0,
eventLogger,ActiveLogger,424,IdFilterEnabled,ID_DISABLED,1,
